label,image_id
1,0
0,1
1,2
4,3
0,4
0,5
7,6
3,7
5,8
3,9
8,10
9,11
1,12
3,13
3,14
1,15
2,16
0,17
7,18
5,19
8,20
6,21
2,22
0,23
2,24
3,25
6,26
9,27
9,28
7,29
8,30
9,31
4,32
9,33
2,34
1,35
3,36
1,37
1,38
4,39
9,40
1,41
4,42
4,43
2,44
6,45
3,46
7,47
7,48
4,49
7,50
5,51
1,52
9,53
0,54
2,55
2,56
3,57
9,58
1,59
1,60
1,61
5,62
0,63
6,64
3,65
4,66
8,67
1,68
0,69
3,70
9,71
6,72
2,73
6,74
4,75
7,76
1,77
4,78
1,79
5,80
4,81
8,82
9,83
2,84
9,85
9,86
8,87
9,88
6,89
3,90
6,91
4,92
6,93
2,94
9,95
1,96
2,97
0,98
5,99
9,100
2,101
7,102
7,103
2,104
8,105
8,106
5,107
0,108
6,109
0,110
0,111
2,112
9,113
0,114
4,115
7,116
7,117
1,118
5,119
7,120
9,121
4,122
6,123
1,124
5,125
7,126
6,127
5,128
0,129
4,130
8,131
7,132
6,133
1,134
8,135
7,136
3,137
7,138
3,139
1,140
0,141
3,142
4,143
5,144
4,145
0,146
5,147
4,148
0,149
3,150
5,151
1,152
0,153
8,154
3,155
7,156
0,157
9,158
6,159
6,160
9,161
5,162
4,163
6,164
9,165
3,166
5,167
4,168
2,169
4,170
8,171
7,172
7,173
5,174
8,175
8,176
8,177
2,178
6,179
9,180
3,181
1,182
0,183
4,184
1,185
5,186
9,187
0,188
6,189
2,190
1,191
3,192
0,193
6,194
0,195
0,196
8,197
3,198
2,199
0,200
0,201
6,202
0,203
0,204
4,205
7,206
2,207
7,208
1,209
9,210
9,211
3,212
9,213
8,214
4,215
6,216
6,217
5,218
3,219
8,220
1,221
8,222
7,223
1,224
3,225
7,226
6,227
3,228
6,229
3,230
6,231
3,232
2,233
3,234
2,235
2,236
7,237
9,238
2,239
3,240
2,241
7,242
5,243
5,244
8,245
8,246
2,247
0,248
